date,division,category,product_code,product,market,platform,channel,customer_code,customer_name,sold_quantity
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Australia,"Brick & Mortar",Direct,70008169,"AltiQ Exclusive",81
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Australia,"Brick & Mortar",Retailer,90008165,"Forward Stores",157
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Australia,"Brick & Mortar",Retailer,90008166,Sound,126
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Australia,"Brick & Mortar",Retailer,90008167,Electricalsocity,160
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Australia,E-Commerce,Direct,70008170,"Atliq e Store",120
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Brazil,E-Commerce,Retailer,90027207,Amazon,9
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Canada,"Brick & Mortar",Direct,70023031,"AltiQ Exclusive",9
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Canada,"Brick & Mortar",Retailer,90023022,"Nomad Stores",24
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Canada,"Brick & Mortar",Retailer,90023025,"Premium Stores",22
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Canada,"Brick & Mortar",Retailer,90023026,Relief,37
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Canada,"Brick & Mortar",Retailer,90023027,Costco,4
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Canada,"Brick & Mortar",Retailer,90023029,Staples,12
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Canada,E-Commerce,Retailer,90023023,Amazon,20
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",Canada,E-Commerce,Retailer,90023030,Amazon,4
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",China,"Brick & Mortar",Distributor,80001019,Neptune,92
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",China,E-Commerce,Retailer,90001021,Taobao,8
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",France,"Brick & Mortar",Direct,70011193,"AltiQ Exclusive",75
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",France,"Brick & Mortar",Retailer,90011185,"Epic Stores",30
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",France,"Brick & Mortar",Retailer,90011186,Elite,73
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",France,"Brick & Mortar",Retailer,90011187,"Chip 7",60
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",France,"Brick & Mortar",Retailer,90011189,UniEuro,95
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",France,"Brick & Mortar",Retailer,90011190,"Media Markt",100
"2017-09-01 00:00:00","N & S","External Solid State Drives",A6218160101,"AQ Digit SSD",France,"Brick & Mortar",Retailer,90011191,Sorefoz,79
